make,transmission_type,seats_cop,seats_family,seats_large,fuel_cng,fuel_diesel,fuel_electric,fuel_lpg,fuel_patrol,seller_dealer,seller_self,year,km_driven,engine,max_power,model,selling_price
hyundai,0,0,0,1,0,0,1,0,0,0,1,2009,42945,2492,287,verna,210447.93755504154
toyota,0,0,0,1,0,0,0,0,1,1,0,2003,176401,3240,88,corolla,272870.71593206894
ford,1,0,0,0,0,0,0,0,1,1,1,2018,46852,3250,169,aspire,251387.19074447668
honda,1,0,0,0,0,1,0,0,0,1,1,2014,162580,1317,99,jazz,139196.32573108093
hyundai,1,0,0,1,0,1,0,0,0,1,1,2004,11264,3268,196,i10,227022.79429902977
toyota,0,0,1,0,0,0,0,1,0,1,1,2005,179774,2964,430,fortuner,288402.5360439851
toyota,0,0,0,1,0,0,0,0,1,0,1,2003,41214,3129,458,fortuner,330944.7202008776
suzuki,1,0,0,0,0,0,0,0,1,1,0,2012,169185,4071,83,alto,74671.94013760092
honda,0,0,1,0,0,0,1,0,0,1,0,2010,71897,4139,297,amaze,232880.42317771597
hyundai,1,0,0,0,0,0,0,0,1,1,0,2020,43706,1859,311,creta,331558.8771306292
toyota,1,0,1,0,0,1,0,0,0,0,0,2021,94745,4071,398,camry,388359.89303239377
maruti,1,0,1,0,0,0,0,0,0,0,0,2010,149573,4244,323,baleno,265419.8919008292
maruti,1,0,0,0,0,0,0,0,1,0,1,2021,11405,3915,153,ertiga,250452.30850642963
hyundai,0,0,1,0,0,0,0,0,1,1,0,2011,77186,4081,452,verna,330503.72374322603
ford,0,0,0,1,0,0,0,0,0,1,1,2019,2302,2316,54,ecosport,173309.16741484465
maruti,0,0,0,1,0,0,0,0,1,0,0,2005,52946,1612,146,ertiga,178214.506508608
toyota,1,0,1,0,0,0,0,0,1,0,0,2013,139040,3728,405,fortuner,228301.56170045136
maruti,1,0,1,0,0,0,0,0,1,1,0,2007,158130,1634,237,s-cross,201268.20471533464
toyota,0,0,0,1,0,0,0,1,0,1,1,2004,185765,1574,163,yaris,176398.5643514914
honda,1,0,1,0,0,0,0,0,1,1,0,2010,142313,3812,273,wr-v,260862.50917066535
maruti,0,0,0,1,0,1,0,0,0,1,0,2000,35597,1801,497,ciaz,440847.77165984537
hyundai,0,1,0,0,0,0,0,1,0,1,0,2018,167967,2996,91,creta,168620.01638361736
honda,1,1,0,0,0,0,1,0,0,0,1,2006,34913,4178,64,wr-v,176120.31281972767
hyundai,1,0,1,0,0,0,0,0,1,1,0,2002,40905,1075,479,i20,339775.64949147747
honda,1,1,0,0,0,0,0,0,1,1,0,2021,112917,4179,496,jazz,377184.72486439464
suzuki,0,0,0,0,0,0,0,0,0,1,1,2004,191385,1508,371,alto,331832.23236486595
suzuki,0,0,0,1,0,0,0,0,1,0,1,2011,82458,4550,395,alto,306209.2619690143
ford,0,0,0,1,0,0,0,0,1,0,0,2018,168863,3821,472,freestyle,452527.24876413966
suzuki,0,0,0,1,0,0,0,0,1,1,1,2014,14689,2133,249,alto,225797.12809171106
toyota,0,0,0,1,0,0,0,0,1,0,0,2021,191451,4858,291,camry,328010.4110619876
hyundai,1,0,1,0,0,0,0,1,0,1,0,2003,177091,1068,324,i20,346028.0388354295
toyota,0,0,0,0,0,0,0,0,1,1,1,2007,163456,4981,201,corolla,238016.26547218167
maruti,0,0,0,1,0,0,0,0,1,0,0,2003,165463,1648,250,ciaz,336531.7896335678
maruti,1,0,1,0,0,0,0,0,1,0,0,2019,136110,1865,227,s-cross,189638.18963719814
suzuki,0,0,1,0,0,0,0,0,1,0,1,2014,160626,2403,179,vitara brezza,245310.5043379196
honda,0,0,1,0,0,0,0,1,0,0,1,2003,92594,4160,281,city,309654.76339836477
